CustomerID,Name,Age,Gender,Email,Address,Phone Number,Account Type,Account Balance,Joining Date,Country,Region
1,Mary Barber,36,Other,ethanstephens@tucker.net,"0816 Long Unions Suite 113
Barnettbury, WY 32988",170-494-9805x56836,Savings,$ 1730.44,02-06-2020,France,West
2,Joel Peters MD,66,Male,reginabarnes@hotmail.com,"99631 Montgomery Viaduct
Watkinshaven, WY 63111",(346)278-4233x68808,Investment,$ 21241.47,05-07-2020,UK,North
3,Andrew Williams,50,Other,ovillarreal@carter.biz,"96368 Kelly Creek
New Jermaine, IN 49238",028.471.8809,Savings,$ 5677.71,24-04-2019,Germany,West
4,Dennis Clark,23,Other,qgoodman@hotmail.com,"0509 Patricia Camp
East Christophermouth, VA 67662",(431)783-2675x426,Savings,$ 19890.96,25-06-2018,Australia,West
5,Brian Smith,50,Other,dianadawson@hotmail.com,"63956 Miller Land Apt. 375
New Willietown, OK 12224",+1-019-309-7515x858,Investment,$ 43639.38,24-08-2014,Germany,East
6,Melissa Lee,29,Other,robertschad@gmail.com,"603 Beth Flats Suite 864
Christinaberg, AL 07361",(904)831-0709,Business,$ 20179.74,11-02-2017,UK,East
7,Edward Navarro,31,Other,gblair@hotmail.com,"454 Bishop Dam Suite 443
Allentown, WY 14338",938.919.1141x2680,Retirement,$ 44269.05,04-04-2016,India,East
8,Jeffrey Greene,69,Other,kennethbradshaw@vazquez.info,"8821 Jennifer Stravenue Suite 256
New Darrenbury, LA 44944",+1-668-357-0412x42774,Savings,$ 6415.04,27-06-2019,UK,West
9,Rachael Porter,31,Other,adamslauren@gmail.com,"5291 Diana Plaza Apt. 997
North Davidmouth, NJ 82650",212-108-2673x3484,Savings,$ 26120.35,15-01-2023,UK,East
10,Lauren Ward,71,Other,jrussell@yahoo.com,"22728 Breanna Drive Suite 328
Kaylaport, DC 14998",(783)414-7530x477,Joint,$ 29330.76,08-12-2017,USA,West
11,Kristine Martinez,41,Other,amandajames@gmail.com,"6879 Cassandra Turnpike Apt. 883
Randyview, KS 45713",(552)584-3226,Retirement,$ 43654.29,31-03-2023,Germany,West
12,Eric Mcmahon,60,Other,joshuarivera@hotmail.com,"29112 Christina Inlet
Gregoryfurt, SD 02032",+1-964-777-0476x0614,Savings,$ 34431.25,22-07-2016,France,East
13,Jennifer Mccormick,22,Male,dsmith@miller-carey.com,"2301 Hartman Branch Suite 824
South Terri, DE 36929",(447)985-6131,Joint,$ 14547.47,21-09-2014,India,North
14,Sierra Foster,63,Male,timothybenson@ramirez-bates.net,"28881 Goodman Corners
West Angelaton, AZ 32088",464-538-5127x39314,Savings,$ 37227.28,08-10-2023,UK,North
15,Brittany Rhodes,72,Other,shaun29@colon.org,"9746 Jennifer Keys
Lake Ronald, IL 64013",001-135-774-7938x3570,Business,$ 4960,03-07-2015,Japan,East
16,Kevin Walsh,48,Female,destiny36@hotmail.com,"13959 Jerome Crescent Suite 157
Randallview, OH 22652",206-647-4885x5092,Retirement,$ 24013.07,08-04-2020,Japan,South
17,Claire Tucker,58,Female,davislaura@hotmail.com,"064 Briggs Loaf Apt. 695
Cynthiaborough, NE 12519",+1-565-392-3273x37168,Retirement,$ 47804.07,11-07-2022,Canada,North
18,Jessica Butler,32,Other,michellemoore@yahoo.com,"41430 Watson Plains
Vernonborough, CT 54053",666-501-4308,Savings,$ 3653.9,30-01-2018,UK,South
19,Kayla Chan,52,Male,vmacias@hunt.info,"511 Julie Pass Suite 401
Dalemouth, TX 42200",9988414480,Joint,$ 22364.94,10-07-2015,Japan,West
20,Jeffrey Barber,32,Male,lopezmegan@swanson.net,"767 Logan Way Suite 136
Brittanybury, RI 22024",6203489880,Business,$ 39733.18,15-02-2016,Germany,East
21,Jason Smith,37,Other,salinaskaitlyn@hotmail.com,"09891 Johnson Springs Apt. 218
New Stacyhaven, KS 94902",964.486.8698,Savings,$ 48123.43,01-05-2021,UK,East
22,Mrs. Alexandra Hudson,53,Female,summermanning@yahoo.com,"PSC 6584, Box 7007
APO AA 25147",6130078860,Retirement,$ 18729.6,14-06-2022,USA,East
23,Jennifer Manning,47,Male,erica00@yahoo.com,"633 Amber Ford Suite 440
West Michele, NC 48454",(347)034-6010,Retirement,$ 29232.3,14-03-2015,Germany,South
24,Misty White,24,Male,dvega@macias-snyder.biz,"Unit 2498 Box 9971
DPO AE 03368",579279886,Business,$ 38529.85,30-12-2020,Germany,South
25,Ryan Nguyen,25,Female,deborahbrown@martinez.com,"957 Sanchez Prairie Apt. 390
New Gina, IN 33607",906045559,Business,$ 43583.01,05-10-2019,India,West
26,Jesus Holland,66,Female,wilsonbilly@hotmail.com,"0624 Brittany Lane
Port Brettbury, ND 13884",001-011-554-2039x1472,Savings,$ 49216.44,05-03-2023,Canada,North
27,Nancy Hampton,75,Female,anne05@yahoo.com,"08765 Fields Manors Suite 491
West Martinchester, CA 11769",475-626-9038x5887,Retirement,$ 1681.85,24-05-2014,Germany,East
28,Reginald Blackburn,50,Female,bshelton@benson-howard.net,"76191 Andrew Forge
East Melissa, LA 08422",5608745886,Joint,$ 33945.83,14-02-2016,France,South
29,Erik Wagner,60,Male,ucrawford@hotmail.com,"09082 Flores Throughway
Howellchester, CO 96310",(312)184-4476,Retirement,$ 35370.92,20-06-2015,France,North
30,Ryan Espinoza Jr.,67,Male,christopher42@hotmail.com,"9858 Jessica Tunnel
Hernandezmouth, NY 08704",5127637924,Business,$ 32035.87,22-04-2022,UK,North
31,John Stone,43,Male,uwalsh@bolton.com,"26115 Davis Square
Francismouth, MD 67763",(934)965-5211,Joint,$ 20026.9,05-05-2015,Australia,North
32,Linda Johnson,49,Male,hicksdaniel@yahoo.com,"32316 Lewis Forest
Port Sara, AL 50214",641-238-6361x657,Joint,$ 14541.04,19-12-2020,Australia,West
33,Lisa Lee,64,Male,kbaker@ruiz-cook.com,"0094 Martinez Lodge Suite 220
Lake Thomasport, MI 64382",001-113-892-4991,Investment,$ 36649.8,27-02-2023,Australia,East
34,Natalie Burns,52,Female,bradley80@yahoo.com,"134 Pope Lakes
Harrisland, WV 86622",(233)322-9000x8952,Business,$ 26122.61,09-02-2020,France,East
35,Sierra Flores,50,Female,amandamoore@clarke.info,"750 Moore Flat
North Philiphaven, MA 32965",730.975.2285x370,Retirement,$ 43063.25,13-05-2015,UK,South
36,William Nicholson,71,Other,davidortega@freeman-robinson.com,"542 Christopher Corners
Port Jasonton, AR 15951",7853107833,Savings,$ 39146.62,12-03-2020,Japan,North
37,Curtis Brown,23,Female,sandovalleah@gmail.com,"993 Beasley Stravenue
Wilsonside, NC 37870",-7294,Savings,$ 35479.99,26-06-2020,UK,West
38,Jesse Robinson,27,Other,steventhomas@green-rogers.com,"71172 Jose Knolls Suite 943
Millershire, HI 27607",+1-122-163-6574x6401,Retirement,$ 27498.05,07-05-2023,India,West
39,Jessica Parker,69,Male,manuel35@hotmail.com,"1251 Soto Falls Suite 075
New Markview, PA 84916",001-968-236-0331x184,Joint,$ 30200.91,25-03-2020,France,South
40,Richard Mclaughlin,20,Female,johnharris@gmail.com,"846 Mclean Mountains Suite 416
East Sierra, ND 08786",837-902-2806,Investment,$ 4198.21,08-06-2015,UK,South
41,Charles Jarvis,29,Male,qhart@gmail.com,"77937 Keller Crest
East Ashleyview, HI 93512",+1-871-702-5850x3996,Savings,$ 46811.84,20-06-2023,Canada,West
42,Edward Morse,54,Male,andrew05@watson-aguilar.com,"6083 Corey Harbor
New Jason, NV 58594",(372)067-9285,Investment,$ 37937,15-05-2019,Japan,East
43,Grace Taylor,71,Female,griley@harding-parker.info,"20955 Tammy Loop Apt. 061
Dalefurt, VA 79564",(075)609-0490x792,Savings,$ 49596.65,23-11-2016,Canada,South
