DetailID,TransactionID,Fee $,PaymentMode,Note,AuthorizedBy,Timestamp
1,747,43.84,Cash,Instead wife believe movie executive town sound.,Gary Rice,10-08-2021 17:44
2,275,24.02,Cash,Ok against father lead end Democrat hold.,Steven Stevenson,19-02-2020 11:52
3,900,4.13,Cheque,Real attack PM political.,James Hanson,05-01-2023 00:46
4,921,3.64,Cash,Score truth religious foreign.,Daniel Forbes,16-10-2020 23:43
5,884,10.4,Credit Card,Administration base everybody reason year up.,Emily Stone,18-10-2020 21:19
6,840,25.9,Cheque,Also hot site decade listen.,Laura Medina,03-04-2023 13:26
7,664,1.46,Cash,Type usually officer paper sign picture.,Emily Griffith,17-05-2021 00:15
8,480,34.22,Cheque,Whatever economy business window four wear world.,Samuel Weaver,04-01-2024 19:15
9,1120,48.28,Credit Card,Avoid issue identify.,Jamie Henderson,10-01-2024 15:21
10,466,2.88,Cash,Her second total another social score from.,Christopher Nguyen,19-10-2020 19:06
11,1240,41.32,Online Banking,Ground find responsibility somebody.,Alexander Sanchez,30-05-2023 14:48
12,1463,26.13,Credit Card,Wrong color just many entire.,Michelle Gardner,08-01-2020 11:35
13,1150,25.28,Cheque,Interview break name detail table enough.,Alison Fry,12-08-2021 07:23
14,1016,43.62,Debit Card,Five energy low late.,Cynthia Hernandez,06-08-2020 00:24
15,1023,41.44,Online Banking,Hand employee when phone activity research government million.,Kenneth Gordon,26-12-2022 06:32
16,1402,30.55,Debit Card,Necessary price remain center.,Tracy Zimmerman,23-01-2020 03:50
17,1633,7.94,Cheque,Fine something public some though evening professional.,Amanda Leach,30-07-2021 09:46
18,788,45.89,Cheque,Adult trade foot stand player skin.,Mark Merritt,27-01-2024 00:34
19,1010,17.47,Cheque,Mother we kitchen back.,Cathy Page,02-08-2023 03:05
20,1594,39.3,Online Banking,Cover leader really finish.,Tammy Doyle DDS,23-12-2020 03:52
21,1375,1.39,Online Banking,Truth structure rather if know Democrat discover.,Beverly Tate,31-10-2022 16:10
22,320,44.93,Debit Card,Especially either rate manager camera.,William Koch,19-12-2022 04:22
23,553,38.35,Debit Card,Once sit ground high mention nor.,Robin Allen,24-01-2023 19:00
24,236,43.99,Credit Card,Thing by set young religious several.,James Jimenez,23-03-2023 17:07
25,397,35.37,Cash,Cup require month guess top.,Martha Johnston,23-02-2022 06:18
26,100,40.66,Debit Card,Him nature full control him hard.,Amanda Poole,08-09-2020 07:19
27,588,2.82,Cheque,Treatment meeting say season member new public.,Marvin Gray,02-06-2020 02:05
